야영장,위치,부지면적(제곱미터),사이트,관리기관명,관리기관전화,데이터기준일자
구천계곡야영장,경상남도 밀양시 단장면 구천리 1386,3990,22,밀양시청 관광진흥과,055-359-5784,2022-05-30
도래재별빛마을캠핑장,경상남도 밀양시 단장면 구천리 1852-7,3122,30,밀양시청 관광진흥과,055-359-5784,2022-05-30
마이웨이리조트관광농원,경상남도 밀양시 산외면 엄광리 1198-1,2541,15,밀양시청 관광진흥과,055-359-5784,2022-05-30
매화관광농원캠핑장,경상남도 밀양시 상동면 매화리 566,1440,60,밀양시청 관광진흥과,055-359-5784,2022-05-30
물안개오토캠핑장,경상남도 밀양시 단장면 고례리 1491,2403,18,밀양시청 관광진흥과,055-359-5784,2022-05-30
미르오토캠핑장,경상남도 밀양시 산외면 희곡리 22-2,5293,30,밀양시청 관광진흥과,055-359-5784,2022-05-30
밀양댐스쿨캠핑장,경상남도 밀양시 단장면 고례리 1516-1,1064,19,밀양시청 관광진흥과,055-359-5784,2022-05-30
밀양댐오토캠핑장,경상남도 밀양시 단장면 고례리 1505-2,1024,16,밀양시청 관광진흥과,055-359-5784,2022-05-30
밀양스쿨캠핑장,경상남도 밀양시 산외면 단산길 2-5,13713,65,밀양시청 관광진흥과,055-359-5784,2022-05-30
밀양유원지야영장,경상남도 밀양시 단장면 고례리 1511,3201,6,밀양시청 관광진흥과,055-359-5784,2022-05-30
사과향기캠핑장,경상남도 밀양시 산내면 남명리 2,2586,18,밀양시청 관광진흥과,055-359-5784,2022-05-30
산여울캠핑장,경상남도 밀양시 산외면 희곡리 73-1,4367,26,밀양시청 관광진흥과,055-359-5784,2022-05-30
서당골캠핑장,경상남도 밀양시 무안면 화봉리 1528,1184,6,밀양시청 관광진흥과,055-359-5784,2022-05-30
아이비오토캠핑장,경상남도 밀양시 산내면 원서리 676,2145,21,밀양시청 관광진흥과,055-359-5784,2022-05-30
알프스캠핑장,경상남도 밀양시 산외면 희곡리 79-7,7253,49,밀양시청 관광진흥과,055-359-5784,2022-05-30
얼음골애플오토캠핑장,경상남도 밀양시 산내면 남명리 480-1,3826,18,밀양시청 관광진흥과,055-359-5784,2022-05-30
엄마랑놀자-키즈글램핑,경상남도 밀양시 초동면 초동중앙로 18,,30,밀양시청 관광진흥과,055-359-5784,2022-05-30
옥션캠핑장,경상남도 밀양시 산내면 남명리 58-1,15398,50,밀양시청 관광진흥과,055-359-5784,2022-05-30
자연속캠핑장,경상남도 밀양시 산내면 용전리 403-1,1869,15,밀양시청 관광진흥과,055-359-5784,2022-05-30
